source,title,link
Times of India,"Russia Pounds 15 Ukrainian Regions; Claims 2,000 Kyiv's Soldiers Killed",https://timesofindia.indiatimes.com/videos/toi-original/russia-pounds-15-ukrainian-regions-claims-2000-kyivs-soldiers-killed/videoshow/111220508.cms
Times of India,Houthis' 'Toofan' New 'Nightmare' For U.S.-Led Forces; Tiny USV Can Carry 150 Kg Warheads,https://timesofindia.indiatimes.com/videos/toi-original/houthis-toofan-new-nightmare-for-u-s-led-forces-tiny-usv-can-carry-150-kg-warheads/videoshow/111182806.cms
Times of India,Inside Pictures From Sonakshi and Zaheer's Family Meet-Up Go Viral,https://timesofindia.indiatimes.com/videos/etimes/bollywood/inside-pictures-from-sonakshi-sinha-and-zaheer-iqbals-family-meet-up-go-viral/videoshow/111164847.cms
Times of India,"After Brad Pitt, Tom Cruise's daughter, Suri Cruise drops last name as she graduates High School",https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/after-brad-pitt-tom-cruises-daughter-suri-cruise-drops-last-name-as-she-graduates-high-school/articleshow/111205245.cms
Times of India,Nana Patekar shares heartbreaking story of his eldest son's demise: 'I felt so disgusted that when I saw him...',https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/nana-patekar-shares-heartbreaking-story-of-his-eldest-sons-demise-i-felt-so-disgusted-that-when-i-saw-him-/articleshow/111196254.cms
Times of India,"Annu Kapoor responds to Kangana Ranaut's criticism: 'Honorable sister, I do not know you, please forgive me'",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/annu-kapoor-responds-to-kangana-ranauts-criticism-honorable-sister-i-do-not-know-you-please-forgive-me/articleshow/111209254.cms
Times of India,"Nana Patekar recalls fighting with Sanjay Leela Bhansali, Vidhu Vinod Chopra and Anil Sharma: 'I cannot control my anger'",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/nana-patekar-recalls-fighting-with-sanjay-leela-bhansali-vidhu-vinod-chopra-and-anil-sharma-i-cannot-control-my-anger/articleshow/111212619.cms
Times of India,BBOTT 3: Poulomi recalls her breakup post 5 years long relationship,https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-ott-3-poulomi-das-breaks-down-in-tears-as-she-recalls-her-breakup-post-5-years-long-relationship-with-her-italian-boyfriend/articleshow/111218936.cms
Times of India,Jhanak's Krushal Ahuja calls out online trolling,https://timesofindia.indiatimes.com/tv/news/hindi/jhanaks-krushal-ahuja-calls-out-online-trolling-co-star-hiba-nawab-comes-out-in-support/articleshow/111217305.cms
Times of India,BBOTT 3: Munisha Khatwani on experiencing astral travel,https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-ott-3-tarot-card-reader-munisha-khatwani-reveals-she-experienced-astral-travel-after-a-major-break-up-says-my-soul-could-see-my-body-while-travelling-in-the-universe/articleshow/111212821.cms
Times of India,Ritesh's advice for young founders,https://timesofindia.indiatimes.com/tv/news/hindi/shark-tank-indias-ritesh-agarwal-shares-an-advice-for-young-founders-to-choose-between-wealth-and-status/articleshow/111216761.cms
Times of India,Inside Out 2 post-credits scenes: How many and what they are,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/inside-out-2-post-credits-scenes-how-many-and-what-they-are/articleshow/111208582.cms
